date,polar
2019-01-01,neg
2019-01-01,neg
2019-01-01,pos
2019-01-01,none
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,neg
2019-01-01,pos
2019-01-01,pos
2019-01-01,none
2019-01-01,pos
2019-01-01,pos
2019-01-01,pos
2019-01-01,neg
2019-01-01,neg
2019-01-01,neg
2019-01-01,pos
2019-01-01,neg
2019-01-01,pos
2019-01-01,none
2019-01-01,pos
2019-01-01,pos
2019-01-01,neg
2018-12-31,pos
2018-12-31,pos
2018-12-31,pos
2018-12-31,neg
2018-12-31,pos
2018-12-31,neg
2018-12-31,none
2018-12-31,pos
2018-12-31,neg
2018-12-31,pos
2018-12-31,neg
2018-12-31,pos
2018-12-31,pos
2018-12-31,pos
2018-12-31,neg
2018-12-31,pos
2018-12-31,none
2018-12-31,neg
2018-12-31,neg
2018-12-31,pos
2018-12-31,pos
2018-12-31,pos
2018-12-31,pos
2018-12-31,neg
2018-12-31,pos
2018-12-31,pos
2018-12-31,none
2018-12-31,pos
2018-12-31,pos
2018-12-30,neg
2018-12-30,pos
2018-12-30,pos
2018-12-30,pos
2018-12-30,neg
2018-12-30,pos
2018-12-30,neg
2018-12-30,none
2018-12-30,neg
2018-12-30,pos
2018-12-30,neg
2018-12-30,neg
2018-12-30,pos
2018-12-30,pos
2018-12-30,neg
2018-12-30,pos
2018-12-30,pos
2018-12-30,none
2018-12-30,pos
2018-12-30,neg
2018-12-30,neg
2018-12-30,pos
2018-12-30,pos
2018-12-30,pos
2018-12-30,pos
2018-12-30,pos
2018-12-30,neg
2018-12-30,none
2018-12-30,pos
2018-12-30,pos
2018-12-30,neg
2018-12-30,neg
2018-12-30,pos
2018-12-29,pos
2018-12-29,neg
2018-12-29,pos
2018-12-29,neg
2018-12-29,none
2018-12-29,pos
2018-12-29,neg
2018-12-29,pos
2018-12-29,pos
2018-12-29,pos
2018-12-29,pos
2018-12-29,neg
2018-12-29,pos
2018-12-29,neg
2018-12-29,none
2018-12-29,pos
2018-12-29,neg
2018-12-29,neg
2018-12-29,pos
2018-12-29,neg
2018-12-29,pos
2018-12-29,pos
2018-12-29,pos
2018-12-29,neg
2018-12-29,none
2018-12-29,pos
2018-12-29,pos
2018-12-29,pos
2018-12-29,pos
2018-12-29,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,neg
2018-12-28,none
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,neg
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,none
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,none
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,neg
2018-12-28,neg
2018-12-28,none
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,pos
2018-12-28,pos
2018-12-28,neg
2018-12-28,pos
2018-12-28,none
2018-12-28,neg
2018-12-28,pos
2018-12-28,neg
2018-12-27,pos
2018-12-27,neg
2018-12-27,neg
2018-12-27,neg
2018-12-27,neg
2018-12-27,pos
2018-12-27,none
2018-12-27,pos
2018-12-27,neg
2018-12-27,neg
2018-12-27,neg
2018-12-27,neg
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,none
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,none
2018-12-27,pos
2018-12-27,pos
2018-12-27,neg
2018-12-27,neg
2018-12-27,pos
2018-12-27,pos
2018-12-27,neg
2018-12-27,pos
2018-12-27,pos
2018-12-27,none
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,neg
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,none
2018-12-27,neg
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-27,pos
2018-12-26,pos
2018-12-26,neg
2018-12-26,neg
2018-12-26,pos
2018-12-26,none
2018-12-26,neg
2018-12-26,pos
2018-12-26,pos
2018-12-26,pos
2018-12-26,neg
2018-12-26,pos
2018-12-26,pos
2018-12-26,neg
2018-12-26,pos
2018-12-26,none
2018-12-26,pos
2018-12-26,neg
2018-12-26,pos
2018-12-26,neg
2018-12-26,pos
2018-12-26,pos
2018-12-26,neg
2018-12-26,pos
2018-12-26,pos
2018-12-26,none
2018-12-26,neg
2018-12-26,pos
2018-12-26,neg
2018-12-26,neg
2018-12-26,pos
2018-12-26,pos
2018-12-26,neg
2018-12-26,pos
2018-12-26,neg
2018-12-25,none
2018-12-25,pos
2018-12-25,pos
2018-12-25,pos
2018-12-25,pos
2018-12-25,neg
2018-12-25,pos
2018-12-25,pos
2018-12-25,pos
2018-12-25,neg
2018-12-25,none
2018-12-25,neg
2018-12-25,pos
2018-12-25,pos
2018-12-25,pos
2018-12-25,pos
2018-12-25,neg
2018-12-25,pos
2018-12-25,pos
2018-12-25,pos
2018-12-24,none
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,neg
2018-12-24,neg
2018-12-24,pos
2018-12-24,none
2018-12-24,pos
2018-12-24,pos
2018-12-24,neg
2018-12-24,pos
2018-12-24,pos
2018-12-24,neg
2018-12-24,neg
2018-12-24,pos
2018-12-24,pos
2018-12-24,none
2018-12-24,neg
2018-12-24,pos
2018-12-24,pos
2018-12-24,neg
2018-12-24,neg
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,neg
2018-12-24,none
2018-12-24,pos
2018-12-24,pos
2018-12-24,neg
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,pos
2018-12-24,none
2018-12-24,pos
2018-12-24,pos
2018-12-23,neg
2018-12-23,pos
2018-12-23,neg
2018-12-23,pos
2018-12-23,pos
2018-12-23,pos
2018-12-23,pos
2018-12-23,none
2018-12-23,pos
2018-12-23,pos
2018-12-23,pos
2018-12-23,pos
2018-12-23,neg
2018-12-23,pos
2018-12-23,pos
2018-12-23,pos
2018-12-23,neg
2018-12-23,none
2018-12-23,pos
2018-12-23,neg
2018-12-23,pos
2018-12-23,pos
2018-12-23,neg
2018-12-23,pos
2018-12-23,neg
2018-12-23,pos
2018-12-23,pos
2018-12-23,none
2018-12-23,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,neg
2018-12-22,neg
2018-12-22,neg
2018-12-22,none
2018-12-22,pos
2018-12-22,neg
2018-12-22,pos
2018-12-22,neg
2018-12-22,neg
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,neg
2018-12-22,none
2018-12-22,pos
2018-12-22,pos
2018-12-22,neg
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,neg
2018-12-22,none
2018-12-22,pos
2018-12-22,neg
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,none
2018-12-22,pos
2018-12-22,pos
2018-12-22,pos
2018-12-22,neg
2018-12-22,pos
2018-12-22,neg
2018-12-22,neg
2018-12-21,neg
2018-12-21,neg
2018-12-21,none
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,none
2018-12-21,pos
2018-12-21,neg
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-21,neg
2018-12-21,neg
2018-12-21,neg
2018-12-21,none
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,none
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,none
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,none
2018-12-21,neg
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,pos
2018-12-21,none
2018-12-21,pos
2018-12-21,pos
2018-12-21,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,neg
2018-12-20,neg
2018-12-20,pos
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,none
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,neg
2018-12-20,pos
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,neg
2018-12-20,neg
2018-12-20,neg
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,neg
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,neg
2018-12-20,neg
2018-12-20,neg
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,none
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,pos
2018-12-20,none
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,none
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,none
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,neg
2018-12-19,none
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,none
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,none
2018-12-19,pos
2018-12-19,neg
2018-12-19,neg
2018-12-19,neg
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,none
2018-12-19,pos
2018-12-19,neg
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,neg
2018-12-19,neg
2018-12-19,none
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,none
2018-12-19,pos
2018-12-19,neg
2018-12-19,pos
2018-12-19,neg
2018-12-19,neg
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-19,none
2018-12-19,pos
2018-12-19,pos
2018-12-19,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,none
2018-12-18,pos
2018-12-18,neg
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,neg
2018-12-18,none
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,none
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,none
2018-12-18,pos
2018-12-18,neg
2018-12-18,neg
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,neg
2018-12-18,neg
2018-12-18,none
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,none
2018-12-18,pos
2018-12-18,neg
2018-12-18,neg
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,none
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,pos
2018-12-18,none
2018-12-18,neg
2018-12-18,pos
2018-12-18,neg
2018-12-18,pos
2018-12-18,neg
2018-12-18,pos
2018-12-18,pos
2018-12-18,neg
2018-12-18,pos
2018-12-17,none
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,neg
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,neg
2018-12-17,none
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,none
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,pos
2018-12-17,neg
2018-12-17,pos
2018-12-17,pos
2018-12-17,none
2018-12-17,pos
2018-12-17,pos
